client_id,yearly_income,total_debt,credit_score,num_credit_cards,total_spent,avg_transaction,transaction_count,spending_ratio,debt_ratio
CLTIND00027,326300,0,710,2,31733.91,3966.73875,8,0.09725378486055777,0.0
CLTIND00028,714574,0,790,3,27244.53,3892.075714285714,7,0.03812695396138119,0.0
CLTIND00029,1089881,146203,787,2,6073.7,3036.85,2,0.005572810242586117,0.1341458379401054
CLTIND00030,592149,184851,695,2,4016.33,1338.7766666666666,3,0.006782634100538885,0.31216974106179357
CLTIND00031,755845,241613,838,3,13302.400000000001,4434.133333333334,3,0.017599375533343477,0.3196594539885823
CLTIND00032,720864,0,804,5,17274.9,3454.9800000000005,5,0.0239641596750566,0.0
CLTIND00033,1171508,453515,627,2,12114.2,2019.0333333333335,6,0.01034068909473943,0.3871207025474858
CLTIND00035,746160,0,789,4,14720.9,2944.18,5,0.0197288785247132,0.0
CLTIND00036,902212,285066,836,4,14207.83,2841.566,5,0.01574777325063289,0.31596343209799915
CLTIND00037,223939,143983,693,1,7597.92,2532.64,3,0.03392852517873171,0.6429563407892328
CLTIND00038,293890,28873,731,2,13394.220000000001,2678.844,5,0.04557562353261425,0.09824424104256695
CLTIND00039,300107,49257,801,1,1399.92,1399.92,1,0.004664736244072948,0.16413145977934537
CLTIND00040,322897,0,702,1,4157.39,2078.695,2,0.012875282210735932,0.0
CLTIND00041,374495,144486,595,1,3605.73,3605.73,1,0.009628246037997838,0.3858155649608139
CLTIND00042,578345,321586,710,2,20704.78,5176.195,4,0.035800050143080686,0.5560452670983582
CLTIND00043,840513,154257,668,4,1208.59,1208.59,1,0.001437919461091024,0.18352720302957837
CLTIND00044,956612,92032,900,4,34192.09,2442.2921428571426,14,0.035742903078782196,0.09620619436093213
CLTIND00045,302449,0,740,2,1512.75,1512.75,1,0.005001669702991248,0.0
CLTIND00046,301204,0,777,1,3668.78,917.195,4,0.012180382730641029,0.0
CLTIND00047,1101140,656186,598,4,3789.51,1263.17,3,0.0034414425050402313,0.5959151424886935
CLTIND00048,737049,154984,796,5,5817.9400000000005,2908.9700000000003,2,0.007893559315595029,0.21027638596619763
CLTIND00049,525488,267715,657,1,4913.65,2456.825,2,0.00935064168924885,0.5094597783393722
CLTIND00050,664218,317263,653,4,11106.11,2221.222,5,0.016720579689198427,0.47764890442595653
CLTIND00051,491138,163454,672,1,5101.37,5101.37,1,0.010386836286339074,0.3328066653364228
CLTIND00053,408695,133249,661,1,8867.8,2216.95,4,0.021697843134856065,0.3260353075031503
CLTIND00054,587509,22287,759,1,3237.66,1618.83,2,0.00551082621713029,0.03793473802103457
CLTIND00056,330940,91377,769,3,8292.72,8292.72,1,0.025058076992808362,0.27611349489333414
CLTIND00057,333086,0,699,3,18208.690000000002,4552.172500000001,4,0.05466663264141994,0.0
CLTIND00058,399404,77614,716,3,8848.14,4424.07,2,0.022153358504171213,0.19432454356991918
CLTIND00060,363029,48082,722,3,23414.65,3902.441666666667,6,0.06449801531007165,0.13244671913263129
CLTIND00061,201534,0,637,1,6561.99,2187.33,3,0.03256021316502426,0.0
CLTIND00062,694942,366078,629,5,67036.13,3047.0968181818184,22,0.09646291345177008,0.526774896322283
CLTIND00063,475849,0,595,2,7072.92,1768.23,4,0.014863790824400178,0.0
CLTIND00064,179735,49629,616,1,9188.6,2297.15,4,0.051123042256655635,0.2761231813503213
CLTIND00065,302993,0,707,3,5017.22,2508.61,2,0.016558864396207174,0.0
CLTIND00066,611900,0,698,2,4953.92,2476.96,2,0.008095963392711228,0.0
CLTIND00067,360970,72470,767,2,10493.08,2098.616,5,0.0290691193173948,0.20076460647699254
CLTIND00068,329127,0,571,1,3214.39,3214.39,1,0.009766412357539795,0.0
CLTIND00069,478116,0,716,3,12325.73,3081.4325,4,0.025779789841795714,0.0
CLTIND00070,614474,147987,683,5,13138.039999999999,3284.5099999999998,4,0.02138095346589115,0.24083525096261194
CLTIND00072,695538,93692,631,4,29102.260000000002,3233.5844444444447,9,0.04184136596418887,0.13470435835281466
CLTIND00073,309337,0,808,3,17836.54,2972.7566666666667,6,0.057660544971988484,0.0
CLTIND00075,489486,0,583,3,32955.36,3661.706666666667,9,0.06732646081808265,0.0
CLTIND00076,364442,0,646,1,6738.49,3369.245,2,0.018489883163850487,0.0
CLTIND00077,270538,0,640,1,3121.25,3121.25,1,0.01153719625339139,0.0
CLTIND00078,421237,54237,682,1,11412.279999999999,5706.139999999999,2,0.027092301958280017,0.12875649574942372
CLTIND00079,1325846,351454,789,3,13482.02,3370.505,4,0.01016861686802238,0.26507905141321086
CLTIND00081,1380217,349551,677,2,8412.96,2103.24,4,0.006095389348196696,0.2532580021837146
CLTIND00082,427851,25296,714,2,21238.65,3034.092857142857,7,0.049640295336460596,0.059123386412559514
CLTIND00083,510725,0,694,2,2046.04,1023.02,2,0.0040061481227666555,0.0
CLTIND00085,314771,5625,787,2,9491.32,3163.773333333333,3,0.030153095424927962,0.017870134161024998
CLTIND00086,369763,50394,751,2,5557.54,2778.77,2,0.015030005706357857,0.1362872975392346
CLTIND00088,441094,0,721,1,16234.689999999999,8117.344999999999,2,0.03680551084349368,0.0
CLTIND00089,391662,136085,663,1,2150.05,1075.025,2,0.005489554769163208,0.34745520372157623
CLTIND00090,1517890,400239,768,4,25926.239999999998,3703.7485714285713,7,0.017080447199731206,0.2636811626665964
CLTIND00092,531776,87856,745,2,1991.55,1991.55,1,0.003745091918401733,0.16521242026718017
CLTIND00093,580167,298906,619,2,21942.74,3657.1233333333334,6,0.03782142038413078,0.5152068283787254
CLTIND00094,263069,149829,727,1,5455.83,2727.915,2,0.020739159688142654,0.5695425914874045
CLTIND00095,754990,230355,782,3,8795.13,2198.7825,4,0.011649333103749717,0.3051100014569729
CLTIND00096,393709,120877,553,1,7373.929999999999,1843.4824999999998,4,0.018729391504893205,0.3070211755382783
CLTIND00098,742868,0,781,5,41782.21,3214.016153846154,13,0.05624446065788269,0.0
CLTIND00099,255812,0,706,1,14847.63,3711.9075,4,0.05804117867809172,0.0
CLTIND00100,266652,0,802,2,2335.62,1167.81,2,0.008759056748121146,0.0
CLTIND00101,755477,442490,669,3,9800.64,3266.8799999999997,3,0.012972784082109712,0.5857094259653173
CLTIND00102,405983,129128,737,1,5364.55,1341.1375,4,0.013213730624188697,0.3180625789749817
CLTIND00103,867202,0,660,3,14722.55,2103.2214285714285,7,0.01697707108609067,0.0
CLTIND00104,1033501,280435,715,5,17691.02,2948.5033333333336,6,0.017117564472603316,0.27134468181453136
CLTIND00106,804777,0,665,4,12538.34,2507.668,5,0.015579893560576409,0.0
CLTIND00107,317771,0,800,3,20220.4,2527.55,8,0.06363198655635663,0.0
CLTIND00108,1909273,0,568,3,10298.52,2574.63,4,0.005393948377209546,0.0
CLTIND00109,329915,0,737,1,10284.19,3428.0633333333335,3,0.03117224133488929,0.0
CLTIND00110,925432,0,616,5,17500.18,3500.036,5,0.018910281900777152,0.0
CLTIND00111,829549,297905,595,4,24787.36,3541.0514285714285,7,0.02988052544213784,0.3591168213089281
CLTIND00112,604415,0,799,5,3512.49,3512.49,1,0.005811387870916506,0.0
CLTIND00113,334381,43697,616,1,3412.15,3412.15,1,0.010204377641074104,0.13068027190540132
CLTIND00114,456583,0,629,2,7901.08,7901.08,1,0.017304805478960014,0.0
CLTIND00116,572069,172478,595,1,7367.53,3683.765,2,0.01287874364805644,0.30149859544915036
CLTIND00117,616697,0,801,4,31456.96,3932.12,8,0.051008777406084345,0.0
CLTIND00118,541698,245509,717,1,10315.95,5157.975,2,0.019043729162743817,0.45322116751400227
CLTIND00119,150000,0,658,1,5906.780000000001,2953.3900000000003,2,0.03937853333333334,0.0
CLTIND00121,319179,0,565,1,24208.82,4841.764,5,0.07584715786439584,0.0
CLTIND00123,594792,0,620,2,6412.639999999999,1603.1599999999999,4,0.010781315148825134,0.0
CLTIND00124,451454,275683,605,1,543.27,543.27,1,0.0012033784172916842,0.610655792173732
CLTIND00125,731982,273839,638,3,16500.62,3300.124,5,0.0225423849220336,0.37410619386815525
CLTIND00126,270119,0,823,3,9155.39,3051.7966666666666,3,0.033893913423343046,0.0
CLTIND00127,721079,427089,609,2,4421.34,2210.67,2,0.006131561174295743,0.5922915519658734
CLTIND00128,664778,232384,672,4,6076.26,6076.26,1,0.00914028442577823,0.3495663213884936
CLTIND00129,627122,133684,659,5,9201.77,2300.4425,4,0.014673014182248431,0.2131706430327751
CLTIND00130,448265,118339,610,2,2953.22,2953.22,1,0.006588111942712457,0.2639933967630754
CLTIND00131,1499751,455897,601,4,31491.739999999998,3499.082222222222,9,0.020997978997846976,0.303981794311189
CLTIND00132,672180,381315,677,4,14375.84,3593.96,4,0.02138689041625755,0.5672810854235473
CLTIND00133,279669,130834,662,1,7335.7,3667.85,2,0.02622993610303609,0.467817312608834
CLTIND00134,580327,0,781,3,7109.75,2369.9166666666665,3,0.012251282466609342,0.0
CLTIND00135,785325,221652,667,3,9862.78,2465.695,4,0.012558851430936237,0.2822423837264827
CLTIND00137,961189,480526,721,5,42610.99,3277.7684615384615,13,0.04433154145542656,0.499928734099121
CLTIND00138,628809,275561,638,2,17652.4,3530.4800000000005,5,0.0280727534116083,0.4382268701624818
CLTIND00140,598491,187291,750,1,3046.2,3046.2,1,0.0050898008491355754,0.31293870751606956
CLTIND00141,391894,212138,601,2,8629.41,4314.705,2,0.022019755342005745,0.5413147432724155
CLTIND00142,690155,0,725,4,24198.16,2688.6844444444446,9,0.0350619208728474,0.0
CLTIND00143,881070,216372,640,2,7238.33,3619.165,2,0.008215385837674645,0.24557867138819844
CLTIND00144,562114,0,642,1,1339.43,1339.43,1,0.002382844049427696,0.0
CLTIND00145,1357988,412044,532,1,6428.83,3214.415,2,0.004734084542720554,0.3034224161038242
CLTIND00146,449162,263365,677,1,4308.01,4308.01,1,0.009591216532119815,0.586347464834514
CLTIND00148,810437,0,824,4,22742.08,2526.897777777778,9,0.028061502621425233,0.0
CLTIND00149,471633,40247,792,1,2175.06,1087.53,2,0.004611763807876039,0.08533541970133557
CLTIND00150,797812,0,647,4,19026.93,4756.7325,4,0.023848889211994805,0.0
CLTIND00151,349955,23502,839,1,5672.42,2836.21,2,0.0162089982997814,0.06715720592647625
CLTIND00152,388024,144180,840,3,19773.46,2471.6825,8,0.05095937364699091,0.3715749541265489
CLTIND00154,577930,0,753,1,10043.5,5021.75,2,0.01737840222864361,0.0
CLTIND00155,607747,0,731,2,4601.49,2300.745,2,0.007571390726733328,0.0
CLTIND00156,1014515,442787,789,2,11100.89,2220.178,5,0.0109420659132689,0.43645190066189266
CLTIND00157,803753,0,609,3,3603.65,3603.65,1,0.004483529143903662,0.0
CLTIND00158,421462,179461,651,3,5490.7,2745.35,2,0.01302774627368541,0.425805885228087
CLTIND00159,246583,0,794,1,1414.16,1414.16,1,0.00573502634001533,0.0
CLTIND00160,648277,0,785,3,17678.239999999998,3535.6479999999997,5,0.02726957766510303,0.0
CLTIND00161,973658,0,717,4,19199.0,3199.8333333333335,6,0.019718422690513507,0.0
CLTIND00162,786599,0,831,4,22931.93,4586.386,5,0.02915326614958829,0.0
CLTIND00163,958428,21763,736,3,3450.88,1725.44,2,0.00360056258790436,0.022706974337143738
CLTIND00164,440308,0,729,1,6851.45,3425.725,2,0.015560584863322947,0.0
CLTIND00165,377903,32743,765,3,20020.38,2860.054285714286,7,0.05297756302543245,0.08664392714532565
CLTIND00166,321330,123459,669,3,11567.24,2891.81,4,0.03599800827809417,0.3842124918308281
CLTIND00168,476970,33043,649,2,9446.68,1889.336,5,0.019805606222613584,0.06927689372497223
CLTIND00169,566012,164571,900,1,3233.08,1616.54,2,0.00571203437382953,0.29075531967520124
CLTIND00170,462677,83511,660,3,25481.59,5096.318,5,0.05507425266438574,0.18049524830497302
CLTIND00171,461477,183480,731,1,5598.59,5598.59,1,0.012131893897203977,0.39759294612732593
CLTIND00172,313748,36766,859,3,21172.41,3024.63,7,0.06748221502607188,0.11718321710417277
CLTIND00173,879699,0,613,4,23135.25,2313.525,10,0.026299052289476287,0.0
CLTIND00174,523491,102511,745,1,4947.61,1649.2033333333331,3,0.00945118445207272,0.1958218956963921
CLTIND00175,450312,0,722,3,16051.1,2675.1833333333334,6,0.03564439766206541,0.0
CLTIND00176,319306,55357,843,2,13918.15,2319.6916666666666,6,0.043588751855586805,0.1733666138437737
CLTIND00178,1095961,458989,610,4,11694.5,2923.625,4,0.010670543933588877,0.4188004865136624
CLTIND00179,697422,234228,676,5,7190.049999999999,1797.5124999999998,4,0.010309468298963897,0.33584830991852854
CLTIND00180,188719,109388,611,1,8083.34,4041.67,2,0.042832677154923456,0.5796342710590878
CLTIND00182,869655,352928,834,4,20389.100000000002,3398.183333333334,6,0.023445044299176113,0.405825298537926
CLTIND00183,538740,241252,676,1,7743.139999999999,1935.7849999999999,4,0.014372684411775624,0.4478078479414931
CLTIND00184,1304369,0,657,3,14245.14,3561.285,4,0.010921096714196672,0.0
CLTIND00186,213687,73571,711,1,7485.97,3742.985,2,0.03503240721241816,0.3442932887821908
CLTIND00188,579141,231354,626,1,7003.1900000000005,3501.5950000000003,2,0.012092374741211553,0.3994778473635954
CLTIND00189,348149,0,590,2,5498.46,5498.46,1,0.015793410292719495,0.0
CLTIND00190,705385,165969,688,4,23297.17,3882.861666666666,6,0.03302759485954478,0.23528853037702815
CLTIND00191,183830,20297,701,1,3823.56,3823.56,1,0.02079943425991405,0.11041179350486863
CLTIND00192,905917,83241,657,3,11281.55,3760.5166666666664,3,0.012453182797099513,0.09188590124702374
CLTIND00193,295224,50963,802,1,1076.73,1076.73,1,0.003647162832290058,0.172624854347885
CLTIND00194,276896,141349,705,2,8325.92,2081.48,4,0.030068762278978388,0.510476857737201
CLTIND00195,466993,0,731,2,9987.82,3329.273333333333,3,0.021387515444556984,0.0
CLTIND00196,648325,195950,655,4,20269.690000000002,5067.422500000001,4,0.031264705201866354,0.3022403886939421
CLTIND00197,551677,200708,815,2,5859.549999999999,1953.1833333333332,3,0.010621341835893102,0.3638143333871088
CLTIND00200,253353,193243,592,1,5345.82,5345.82,1,0.021100283004345716,0.7627421029156947
CLTIND00201,436942,126193,709,1,1934.56,1934.56,1,0.004427498386513542,0.28880949874354034
CLTIND00202,953006,480653,712,2,6773.83,6773.83,1,0.007107856613704426,0.5043546420484236
CLTIND00203,498723,284449,545,1,14545.04,7272.52,2,0.02916456630233617,0.5703546858677061
CLTIND00204,837362,297216,623,3,1123.17,1123.17,1,0.0013413195248888773,0.35494326229277184
CLTIND00205,1197329,268596,729,2,1818.08,1818.08,1,0.0015184464754465982,0.2243293196773819
CLTIND00206,351355,65734,644,1,2065.22,2065.22,1,0.005877872806705468,0.18708713409514593
CLTIND00208,1839637,486057,702,4,9011.939999999999,1802.3879999999997,5,0.0048987599183969435,0.2642135377794641
CLTIND00209,1189412,0,642,5,27667.48,3952.497142857143,7,0.023261477099608883,0.0
CLTIND00210,183308,0,742,1,509.51,509.51,1,0.0027795295349902897,0.0
CLTIND00211,630742,0,769,2,1550.13,1550.13,1,0.002457629268385489,0.0
CLTIND00212,500168,0,723,1,978.01,978.01,1,0.001955362998032661,0.0
CLTIND00213,820965,0,834,3,10065.69,2516.4225,4,0.01226080283568727,0.0
CLTIND00214,319776,0,778,3,17604.67,2934.111666666666,6,0.05505313094165916,0.0
CLTIND00215,302126,0,717,1,2090.91,2090.91,1,0.006920655620502703,0.0
CLTIND00216,333274,0,694,2,9637.34,2409.335,4,0.028917167255771526,0.0
CLTIND00217,354763,0,860,3,7667.21,3833.605,2,0.021612203076420033,0.0
CLTIND00218,815501,311794,621,4,12926.03,2585.206,5,0.015850415879318357,0.3823342951142917
CLTIND00220,344137,0,687,2,11466.029999999999,5733.014999999999,2,0.03331821338594804,0.0
CLTIND00222,914959,0,900,4,8664.46,1444.0766666666666,6,0.00946977952017522,0.0
CLTIND00223,1071941,385711,697,3,22366.83,3727.8050000000003,6,0.020865728617526526,0.3598248411059937
CLTIND00224,410906,165466,646,2,1924.02,1924.02,1,0.00468238477900055,0.4026857724151022
CLTIND00225,418149,0,735,2,5112.34,2556.17,2,0.0122261203542278,0.0
CLTIND00226,656250,0,615,3,30408.86,4344.122857142857,7,0.046337310476190476,0.0
CLTIND00227,1211116,144197,691,5,4087.3,2043.65,2,0.0033748212392537133,0.1190612625049954
CLTIND00228,638917,0,856,4,14704.099999999999,2940.8199999999997,5,0.023014100423059645,0.0
CLTIND00229,329008,0,773,2,7178.67,2392.89,3,0.021819135097018917,0.0
CLTIND00231,256091,19150,792,3,6952.870000000001,3476.4350000000004,2,0.02714999746183974,0.0747781062200546
CLTIND00232,522455,11683,661,2,2862.4,1431.2,2,0.005478749365974103,0.022361734503450057
CLTIND00233,337448,23794,864,1,710.11,710.11,1,0.0021043538560015173,0.07051160475095422
CLTIND00234,562049,76671,562,3,43073.84,4785.982222222222,9,0.07663716152862117,0.13641337321123248
CLTIND00235,358832,54910,728,2,6073.3,3036.65,2,0.016925190618450974,0.15302425647656842
CLTIND00236,264997,13242,549,1,611.99,611.99,1,0.002309422370819292,0.049970377023136114
CLTIND00237,246753,0,583,1,3628.08,1814.04,2,0.01470328628223365,0.0
CLTIND00238,1276683,510453,747,4,14873.68,2478.9466666666667,6,0.01165025303853815,0.39982752178888575
CLTIND00239,852353,449362,601,3,18260.75,3652.15,5,0.021423928818224375,0.5272017579570906
CLTIND00240,1412221,620541,767,3,10389.11,2597.2775,4,0.00735657521025392,0.4394078547196225
CLTIND00243,1106119,334864,586,3,2896.77,1448.385,2,0.0026188592728268838,0.3027377705292107
CLTIND00244,490177,0,694,1,1918.89,1918.89,1,0.00391468795965539,0.0
CLTIND00245,570842,0,844,1,1432.41,1432.41,1,0.0025092932895617354,0.0
CLTIND00246,487316,0,863,2,2173.63,1086.815,2,0.004460411724630425,0.0
CLTIND00248,1309563,109135,582,4,33127.81,3011.6190909090906,11,0.02529684329810784,0.08333696049750948
CLTIND00249,671296,233121,582,3,19257.18,3851.436,5,0.028686570454762132,0.347270056726094
CLTIND00250,609416,138478,706,3,7649.32,1529.864,5,0.012551885739790224,0.2272306601730181
CLTIND00251,481806,121690,625,2,4137.86,4137.86,1,0.00858822845709684,0.25257053668904084
CLTIND00252,551513,288912,710,3,5779.01,1926.3366666666668,3,0.010478465602805374,0.5238534721756332
CLTIND00253,349408,0,854,1,6761.23,6761.23,1,0.019350530039380896,0.0
CLTIND00254,723829,23627,637,4,16918.11,2416.8728571428574,7,0.02337307568500295,0.0326416874703832
CLTIND00255,228229,0,648,1,933.87,933.87,1,0.0040918112947960165,0.0
CLTIND00256,559056,113777,601,1,2464.84,2464.84,1,0.004408932199994276,0.20351628459402993
CLTIND00257,700330,204479,665,5,51211.07,2560.5535,20,0.0731241985920923,0.2919752116859195
CLTIND00258,443814,179724,676,1,2348.59,2348.59,1,0.005291833966481454,0.4049534264353986
CLTIND00259,624611,440914,637,3,7045.63,2348.5433333333335,3,0.011280028689856567,0.7059017532512235
CLTIND00260,275836,0,792,2,4356.85,2178.425,2,0.015795073884482085,0.0
CLTIND00261,280090,0,751,1,966.45,966.45,1,0.0034504980541968655,0.0
CLTIND00262,576306,75637,700,1,6917.1,6917.1,1,0.01200247785030869,0.13124451246386468
CLTIND00263,751250,0,723,2,25404.489999999998,2822.721111111111,9,0.0338162928452579,0.0
CLTIND00264,162339,0,727,1,22749.760000000002,5687.4400000000005,4,0.14013736686809702,0.0
CLTIND00265,683906,239110,673,4,18318.05,3053.008333333333,6,0.026784455758539914,0.34962407114428007
CLTIND00266,360931,0,666,3,21448.61,3064.087142857143,7,0.05942579052505881,0.0
CLTIND00268,223832,72173,693,1,1939.56,1939.56,1,0.008665248936702527,0.3224427249008185
CLTIND00269,299957,0,680,1,2908.38,2908.38,1,0.009695989758532057,0.0
CLTIND00270,892729,246208,729,3,19493.11,2436.63875,8,0.021835417019050576,0.2757925417455913
CLTIND00271,509957,129058,695,3,3214.58,1607.29,2,0.006303629521704771,0.25307623976139165
CLTIND00273,466247,0,799,3,10549.04,3516.346666666667,3,0.022625432442460756,0.0
CLTIND00274,670575,0,608,2,11899.7,2974.925,4,0.01774551690713194,0.0
CLTIND00275,651257,153307,833,2,1739.51,869.755,2,0.0026710039201114154,0.23540169241942888
CLTIND00277,963318,549231,768,4,10074.68,2014.9360000000001,5,0.010458311793198092,0.5701450611324609
CLTIND00278,895055,0,736,4,33893.19,3389.3190000000004,10,0.037867159001402154,0.0
CLTIND00279,640745,114565,657,5,49109.57,4092.4641666666666,12,0.07664448415516313,0.17879967849924697
CLTIND00280,516655,0,602,2,6939.51,2313.17,3,0.013431612971905817,0.0
CLTIND00281,741741,0,672,3,35246.21,5035.172857142857,7,0.047518217275302296,0.0
CLTIND00282,603755,0,707,3,9568.31,3189.4366666666665,3,0.015848001258788748,0.0
CLTIND00283,944909,318101,695,4,31614.92,3161.4919999999997,10,0.033458163696186614,0.3366472326964819
CLTIND00284,857778,141758,816,3,23123.85,3853.975,6,0.026957849233717815,0.16526187428448852
CLTIND00285,271417,78849,691,1,10660.94,3553.646666666667,3,0.03927882188661727,0.2905087006340797
CLTIND00286,260611,85746,706,2,27256.0,5451.2,5,0.10458499449370902,0.3290191127772811
CLTIND00287,328277,0,748,3,31863.36,3982.92,8,0.0970624198466539,0.0
CLTIND00288,898109,516335,625,3,17706.83,3541.3660000000004,5,0.019715680390687548,0.5749135127250701
CLTIND00290,633628,0,711,5,7297.74,3648.87,2,0.011517388751759706,0.0
CLTIND00291,621499,160920,739,2,12175.26,3043.815,4,0.019590152196544162,0.2589223796015762
CLTIND00292,1004452,125035,632,4,7822.89,1303.815,6,0.007788216858545755,0.12448081142752467
CLTIND00293,557137,0,679,1,4647.08,4647.08,1,0.008341000507954058,0.0
CLTIND00295,281180,0,634,3,26856.239999999998,2984.0266666666666,9,0.09551262536453517,0.0
CLTIND00297,362072,0,676,1,3247.84,3247.84,1,0.008970149583508252,0.0
CLTIND00300,1208343,713280,606,5,31883.95,2898.5409090909093,11,0.026386506149330115,0.5902959672874342
CLTIND00301,225753,10936,775,1,253.95,253.95,1,0.0011249019946578782,0.04844232413301263
CLTIND00302,1121329,0,736,2,11800.869999999999,2360.174,5,0.010524003214043336,0.0
CLTIND00303,1018113,0,689,4,23299.11,3883.185,6,0.022884601218135906,0.0
CLTIND00304,857130,99643,707,3,25487.99,8495.996666666668,3,0.029736434379849033,0.11625191044532335
CLTIND00305,329754,0,824,1,6126.83,6126.83,1,0.018580002062143296,0.0
CLTIND00306,614051,0,706,3,5153.79,2576.895,2,0.008393097641726827,0.0
CLTIND00308,863637,249866,676,4,3464.98,3464.98,1,0.004012079148994312,0.2893183131338745
CLTIND00309,478290,235285,548,1,9613.59,3204.53,3,0.020099918459512013,0.49192958247088586
CLTIND00311,239933,45011,578,1,11516.279999999999,3838.7599999999998,3,0.04799789941358629,0.18759820449875592
CLTIND00312,150000,0,695,1,6974.09,3487.045,2,0.046493933333333334,0.0
CLTIND00313,268133,36378,675,2,12846.65,3211.6625,4,0.04791148422611167,0.13567147646876737
CLTIND00314,974853,0,865,2,5461.02,1365.255,4,0.005601890746604873,0.0
CLTIND00316,451697,0,727,1,1139.13,1139.13,1,0.0025218896738300233,0.0
CLTIND00317,740956,0,817,4,43268.24,3605.6866666666665,12,0.05839515436814061,0.0
CLTIND00318,1477356,761553,626,3,2112.23,2112.23,1,0.001429736637614766,0.5154837425779568
CLTIND00319,1107224,0,606,3,8053.290000000001,2013.3225000000002,4,0.007273406284545856,0.0
CLTIND00320,278999,0,762,2,4209.62,1403.2066666666667,3,0.015088297807519023,0.0
CLTIND00323,1950816,764778,601,3,9606.04,3202.013333333334,3,0.004924113806735233,0.39202979676197036
CLTIND00324,559856,0,795,1,1430.5,1430.5,1,0.0025551213169100625,0.0
CLTIND00326,891178,487555,699,4,14454.61,4818.203333333334,3,0.016219666553707567,0.54709048024076
CLTIND00327,468632,0,695,2,23545.36,2616.1511111111113,9,0.050242749108042134,0.0
CLTIND00330,611083,139627,623,3,9566.07,3188.69,3,0.015654289188211747,0.22849105604312345
CLTIND00332,411481,325874,742,3,8479.58,2119.895,4,0.020607464257158897,0.7919539419803101
CLTIND00333,743449,144723,692,3,7848.36,2616.12,3,0.010556689160924287,0.19466432801712022
CLTIND00334,679094,370760,681,2,7779.71,2593.2366666666667,3,0.011456013453218552,0.545962709138941
CLTIND00335,585121,113323,770,1,2310.3599999999997,1155.1799999999998,2,0.003948516631602694,0.19367447075049435
CLTIND00336,875383,421672,585,2,3348.76,3348.76,1,0.003825479818547996,0.48170001016697833
CLTIND00337,402453,38381,781,1,700.53,700.53,1,0.0017406504610476253,0.09536765783830659
CLTIND00338,556579,0,771,2,11001.95,2200.3900000000003,5,0.019767095057485102,0.0
CLTIND00339,150000,69208,782,1,3188.35,1594.175,2,0.021255666666666666,0.46138666666666667
CLTIND00340,381770,76331,812,2,12125.03,3031.2575,4,0.03176003876679676,0.19993975430232863
CLTIND00341,790725,551217,641,3,10631.29,1771.881666666667,6,0.0134449903569509,0.6971032912833159
CLTIND00342,395587,0,780,3,10024.1,2506.025,4,0.025339811470043255,0.0
CLTIND00343,377991,0,724,2,11414.21,1902.368333333333,6,0.030197041728506763,0.0
CLTIND00344,267665,53030,708,1,2147.49,1073.745,2,0.008023051202062278,0.19812078530999572
CLTIND00345,912901,0,630,3,4223.35,1407.7833333333335,3,0.004626295731957792,0.0
CLTIND00346,694843,0,702,3,43652.16,3968.378181818182,11,0.06282305499227883,0.0
CLTIND00347,820453,32651,572,3,25587.11,4264.518333333333,6,0.031186564007932203,0.03979630764955457
CLTIND00350,422649,130223,745,2,21469.010000000002,3067.0014285714287,7,0.05079631088681152,0.30811145891744685
